,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
218,"Wind Turbine Technician - Rio Hondo, TX",$34K - $68K (Glassdoor est.),"ACCIONA is one of Spain's leading corporations, a front-runner in promoting and managing infrastructures, renewable energies, water and services, with 30,000 professionals worldwide, in 30 countries, and on 5 continents. The company is a global leader in renewable energy working exclusively with renewable technologies, specifically in wind, solar PV, solar thermal, hydro and biomass. Our Northern American Energy Division owns and operates renewable energy windfarms in the United States and Canada, and has recently added 3 gigawatts to our portfolio as we begin back to back Solar PV and storage projects. This is an exciting time to join Acciona and become one of the “pioneers in sustainability.”
Job Description
The Wind Turbine Technician will work with a team of well-trained professionals to maintain facilities surrounding wind turbines and maintain the turbines themselves. This includes basic cleaning and maintenance on the premises surrounding the wind turbines. This requires attention to safety regulations for the industry and is important for overall safety on the job.",3.3,"Acciona Services Energy
3.3","Rio Hondo, TX",201 to 500 Employees,2006,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities",$10 to $25 million (USD)
219,"Wind Turbine Technician - Ashley, ND",$34K - $68K (Glassdoor est.),"ACCIONA is one of Spain's leading corporations, a front-runner in promoting and managing infrastructures, renewable energies, water and services, with 30,000 professionals worldwide, in 30 countries, and on 5 continents. The company is a global leader in renewable energy working exclusively with renewable technologies, specifically in wind, solar PV, solar thermal, hydro and biomass. Our Northern American Energy Division owns and operates renewable energy windfarms in the United States and Canada, and has recently added 3 gigawatts to our portfolio as we begin back to back Solar PV and storage projects. This is an exciting time to join Acciona and become one of the “pioneers in sustainability.”
Job Description
The Wind Turbine Technician will work with a team of well-trained professionals to maintain facilities surrounding wind turbines and maintain the turbines themselves. This includes basic cleaning and maintenance on the premises surrounding the wind turbines. This requires attention to safety regulations for the industry and is important for overall safety on the job.",3.9,"Acciona
3.9","Ashley, ND",10000+ Employees,1997,Company - Public,Construction,"Construction, Repair & Maintenance",$5 to $10 million (USD)
220,Wind Turbine Technician,$34K - $68K (Glassdoor est.),"NGC Transmission Equipment (America) Inc. is a subsidiary of a multi-national gearbox manufacturer (NGC Gears) and is based in Fort Worth, TX.
NGC is looking to hire Wind Gearbox Traveling Tech to be based in their own residency area without relocation to Fort Worth, TX.

Job Summary: Travel Gearbox Technician - Wind Industry (Ft. Worth, TX) (Travel Job)

Job Type: Full-time Pay: $18.00 - $28.00 per hour",3.3,"NGC Transmission Equipment (America), Inc.
3.3",Texas,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
221,Wind Turbine Technician,$34K - $68K (Glassdoor est.),"Perform commissioning tasks of wind turbines following OEM specifications
Adhere to quality and safety standards of OEM and company's guidelines
Perform warranty repairs, operations and maintenance of wind turbines (different make and models)
Evaluate multiple fault records to increase mean time between failures
Troubleshoot circuits and operate electrical control systems
Follow up and audit maintenance and troubleshooting activities to ensure work performed to satisfaction
Perform climbs of +280 feet to perform annual or semi-annual maintenance, troubleshoot, and repair failures, which may occur, and collect data
Conduct electronic troubleshooting using wire and block diagram schematics",4.3,"ersg
4.3","Milton-Freewater, OR",51 to 200 Employees,2008,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
222,Commissioning Tech - Wind/Solar (West Coast 100% Travel),$34K - $68K (Glassdoor est.),"Equivalent Experience

Established Solar Tracking manufacturer/installation company is seeking a Traveling O+M Commissioning Technician to commission Solar Trackers on large scale ground mount solar sites throughout the WESTERN Most U.S.

This position is 100% travel for the WESTCOAST, candidate should be based out any of the WESTERN States in the US.
This is a salaried position ranging from $80-85K, depending on experience.
Holiday and vacation included
This is a Long-term contract position

Utility Scale O+M/Commissioning experience is required in either the WIND or SOLAR industry.


The goal of the O+M Commissioning Tech is to facilitate a positive experience with The Client. He/she will be commissioning the
products and Installation and insures that work is of the highest quality possible and develops customer loyalty by optimizing the product to the customer’s needs and providing great technical onsite support services on the Solar Tracking product.



All hotel, flights and per diem will be paid when traveling.
Will be issued a company vehicle when traveling

If interested, please Call Abraham
O+M, operations and maintenance, testing, commissioning, fluke, troubleshooting, technician, solar, utility solar plants, wind, electrical, field service technician, trackers, solar. wind turbine


We know that a company's success starts with its employees. We also know that an individual's success starts with the right career opportunity. As a Best of Staffing® Client and Talent leader, Aerotek's people-focused approach yields competitive advantage for our clients and rewarding careers for our contract employees. Since 1983, Aerotek has grown to become a leader in recruiting and staffing services. With more than 250 non-franchised offices, Aerotek's 8,000 internal employees serve more than 300,000 contract employees and 18,000 clients every year. Aerotek is an Allegis Group company, the global leader in talent solutions.

The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",-1,Aerotek,"Phoenix, AZ",5001 to 10000 Employees,1983,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
223,Field Service Technician II (Wind Tech),$34K - $68K (Glassdoor est.),"2 – 5 years relevant experience in wind energy or a related industry
Experience with power plant operations and maintenance, wind plant operations and turbines (including turbine power converters specifically), high-voltage switching, and post-operational repair and maintenance of turbines preferred
Proficient knowledge of MS Office software, SQL server software, facility management and reporting systems, and computerized diagnostics and troubleshooting tools
Familiarity with maintenance and electronic testing equipment (e.g. voltage testers, amp clamps, oscilloscopes, megohmmeters, infrared testers, hydraulic torque equipment, alignment tools, various hand and power tools, and heavy equipment required for facility maintenance
Working knowledge of crane and rigging requirements
Must possess a valid driver’s license and be able to operate a motor vehicle",3.7,"The Global Edge Consultants
3.7","Arlington, OR",1 to 50 Employees,2008,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
224,Field Mechanic Apprentice,$34K - $68K (Glassdoor est.),"Elevator Mechanic Apprentice - Tulsa, OK - No License Required / 4-year Paid-Training Program
Country Home Elevator and Stair Lifts are a rapidly growing Residential/Commercial Elevator Installation & Repair Company, headquartered in Brighton, Missouri, and operates throughout Missouri, Kansas, Oklahoma, Arkansas, and some parts of Illinois and Iowa.
If you are looking for a fulfilling lifetime career with an excellent company that offers an exciting future then we would love to speak with you. If you're mechanically inclined and have experience working with mechanical/hydraulic systems, HVAC, alarm installations, low voltage wiring, and/or reading schematics; then the role of Elevator Mechanic Apprentice may just be the right position for you!
You must meet the requirements listed below, have the ability to travel overnight 3-4 days per week on a consistent basis, and be willing to work overtime.",-1,Country Home Elevator and Stair Lift,"Tulsa, OK",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
225,Plant Technician II,$34K - $68K (Glassdoor est.),"Main Responsibilities:
· Ensure proper operation, inspection, and maintenance of wind turbines and associated wind plant equipment and systems including substations, met towers, tower switchgears, SCADA systems, road maintenance, crop damage assessments, general building maintenance, etc.
· Proactively look for improvement opportunities to job appropriate processes and procedures
· Effectively gather information regarding performance issues associated with turbines, met towers, metering, etc. May diagnose, recommend, and implement solutions up to intermediate routine issues.
· Comply with all pertinent environmental health and safety programs",3.7,"The Global Edge Consultants
3.7","Payne, OH",1 to 50 Employees,2008,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
226,Traveling Wind Technician - GE LOTO Certification a must,$34K - $68K (Glassdoor est.),"Required:
GE LOTO Certs
GE Maintenance Certs
JOB SUMMARY
Wind Turbine Technicians must carry out daily tasks to include inspecting, maintaining, commissioning, operating, troubleshooting and repairing wind turbines, all while keeping safety as their top priority. Locations are nationwide, so availability for extensive travel is required.
COMPENSATION
$24.00 - $30.00 per hour, based on experience",-1,SurgeHire,Texas,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
227,Wind Turbine Technician II,$34K - $68K (Glassdoor est.),"Vestas Wind Technology, Inc.
Technician II
Payne, Ohio - 30min east of Fort Wayne, Indiana

WHO WE ARE
At Vestas, we live our company values of Accountability, Collaboration, Simplicity and Passion. In an innovative and evolving industry, we change quickly to meet the needs of our customers. Our motivation is to preserve the environment through sustainable energy solutions. If this aligns with your values and enthusiasm, we want to hear from you!",3.7,"Vestas
3.7","Payne, OH",10000+ Employees,1945,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD)
228,Traveling Wind Turbine Technician,$34K - $68K (Glassdoor est.),"Job Description
Job Title: Traveling Wind Turbine Technician
Reports To: Operations Manager
Hours: Full Time 50 – 60 hours per week
Pay: $22-$26/hour Depending on Experience & Qualifications
Job Summary:
Rewarding position available for motivated individuals seeking an opportunity in the wind energy industry. Applicants must be hard working, motivated, willing to learn, able to work well with others and able to travel 100% of the time.",-1,Wind Secure Inc.,"Lake Orion, MI",-1,-1,-1,-1,-1,-1
229,Wind Turbine Apprentice,$34K - $68K (Glassdoor est.),"Wind Service Technician– Level 1 Local
Career Pathways, Skills & Development, Competitive Pay & Benefits
Build an exciting, rewarding career with us – consider joining the Sky Climber team, where you’ll find a friendly work environment, opportunities for growth and development, recognition for your work, and competitive pay and benefits. Visit skyclimberwind.com to learn more.
The Company: Sky Climber Staffing Solutions is a privately-held renewable energy service company and is renowned for large-scale service support and rapid deployment of qualified resources and equipment. We serve the world’s leading wind energy OEMs and Owner/Operators, across all areas of critical inspection, service and maintenance.
Our employees are considered the foundation of our business and our most important asset.
We believe in empowering people and businesses to create, build and maintain the things we need and care about.",-1,Sky Climber Renewables,"Jamestown, ND",501 to 1000 Employees,2007,Company - Private,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable
230,Wind Turbine Technician - Ranchland,$34K - $68K (Glassdoor est.),"It takes the brightest minds to be a technology leader. It takes imagination to create green energy for the generations to come. At Siemens Gamesa we make real what matters, join our global team.
Performs technical, mainly pre-defined tasks for accomplishing defined service delivery work for customer equipment.
Wind Technician- Service Technician
Position Overview
Join one of the world’s leading suppliers of wind power solutions as a Wind Technician for Siemens Gamesa Renewable Energy! Demand for electricity generated from renewable sources is growing fast, and Siemens Gamesa Renewable Energy has the answers. As one of the market leaders, we combine technological innovations, experience, and expertise to deliver readily available, one-stop solutions and have a proven track record of successfully delivering wind power projects on all continents. SGRE is currently seeking highly talented and motivated candidates for a Wind Technician position. The candidate will work together with a multi-disciplinary group to ensure top performance on our wind farms. The ideal candidate has the ability to work a flexible schedule, along with the ability to analyze and resolve problems independently and efficiently. S/he will provide excellent service to our customers, have the ability to work on complex systems in challenging environments, and participate in the development of new field procedures and best practices.",3.9,"Siemens Gamesa Renewable Energy
3.9","Albany, TX",10000+ Employees,2017,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
231,Traveling Wind Technician -Support Service,$34K - $68K (Glassdoor est.),"EDF Renewables North America, a subsidiary of EDF Renewables, is a leading North American independent power producer boasting over 30 years of experience across a broad spectrum of services. Our mission is to deliver renewable solutions to lead the transition to a sustainable energy future.

Scope of Position:
This level is intended to perform as an assistant to an experienced technician. The PDS Technician, under specific direction from the PDS Supervisor, providing O&M services at renewable energy projects, including but not limited to inspections, preventative maintenance, and corrective repairs, as needed. This field technician will be expected to travel for extended periods of time working on EDF Renewables projects as needed. When the PDS Technician is not traveling, he/she will be based at his/her assigned home site and will be directed by the Site Supervisor for that site. While traveling on behalf of EDF Renewables, you are expected to represent our organization and our core values at all times.


PDS Technicians spend 100% of their time in the field, excluding safety; supervisor and scheduled training exercises. Wind and Solar Technicians work in teams and are provided a company vehicle (service truck) in which they carry the required tools and parts necessary to perform repairs and/or maintenance on turbines in multiple wind fields on any given day. Generally, Service Technicians work in extreme weather conditions.



To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.



The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this job the employee is regularly required to: Stand, climb, use hands to fingers, handle, or feel and reach with hands and arms. The employee is frequently required to talk or hear. The employee is regularly required to lift and/or move up to 35 pounds, frequently lift and/or move up to 50 pounds.

The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. While performing the duties of this job, the employee is frequently exposed to

Physical Weight Limit Restriction
Due to weight restrictions associated with life-saving fall-arrest equipment employees are required to wear while working at heights, maximum employee weight must not exceed 285 lbs. Employee weight subject to review at any time throughout the duration of employment and required annually at a minimum.

We are proud to be an EEO/AA employer M/F/D/V. We maintain a drug-free workplace and perform pre-employment substance abuse testing.


EDF Renewables and its subsidiaries (""EDF-R"") will not accept unsolicited resumes/CVs from any source other than directly from a candidate.

Any unsolicited resumes sent to EDF-R, including unsolicited resumes sent to a EDF-R mailing address, fax machine or email address, directly to EDF-R employees outside of EDF-R’s Recruiting department, or to EDF-R’s resume database will be considered as submitted directly by a candidate and therefore EDF-R will NOT pay any fee for any placement resulting from the receipt of such unsolicited resume.

EDF-R will consider any candidate for whom an Agency has submitted an unsolicited resume to have been referred by the Agency free of any charges or fees.

Agencies must obtain advance written approval from EDF-R’s Recruiting department to submit resumes, and then only in conjunction with a valid fully executed contract for service. EDF-R will not pay a fee to any Agency that does not have such agreement in place.

Agency agreements will only be valid if in writing and signed by EDF-R’s Vice President - Human Resources or his/ her designee. No other EDF-R employee is authorized to bind EDF-R to any agreement regarding the placement of candidates by Agencies.”",4.0,"EDF Renewables
4.0","Cabery, IL",10000+ Employees,1946,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
232,Traveling Technician II,$34K - $68K (Glassdoor est.),"This position is remote requiring 100% travel. This is an hourly paid position. With travel, overtime and other supplemental earnings, resource technicians may have the ability to earn over $100,000 per year.

Do you enjoy travel? Are you looking to further develop your electrical and mechanical skillsets while gaining exposure to a variety of exciting new projects? Then consider joining our Resource Team to travel to our sites across North America and grow and train with the best in the wind industry.",3.7,"Vestas
3.7","Chicago, IL",10000+ Employees,1945,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD)
233,Wind Turbine Apprentice,$34K - $68K (Glassdoor est.),"Wind Service Technician– Level 1 Local
Career Pathways, Skills & Development, Competitive Pay & Benefits
Build an exciting, rewarding career with us – consider joining the Sky Climber team, where you’ll find a friendly work environment, opportunities for growth and development, recognition for your work, and competitive pay and benefits. Visit skyclimberwind.com to learn more.
The Company: Sky Climber Staffing Solutions is a privately-held renewable energy service company and is renowned for large-scale service support and rapid deployment of qualified resources and equipment. We serve the world’s leading wind energy OEMs and Owner/Operators, across all areas of critical inspection, service and maintenance.
Our employees are considered the foundation of our business and our most important asset.
We believe in empowering people and businesses to create, build and maintain the things we need and care about.

The Position:",-1,Sky Climber Renewables,"Jamestown, ND",501 to 1000 Employees,2007,Company - Private,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable
234,Wind Turbine Technician,$34K - $68K (Glassdoor est.),"Experienced Wind Turbine Technician (Troubleshooting)

Do you have experience in performing works in commissioning, mechanic, troubleshoot, installation and/or service of Wind Turbines?
Are you willing to travel a lot and perform your job in many different places of the US or Canada?
Are you flexible, responsible, and able to work independently and also as team member?
Do you want to extend your experience in the most developing industry?
If the answers are yes, you may be a new member of our team in FairWind.",3.5,"FairWind, Inc
3.5","Abilene, TX",501 to 1000 Employees,2008,Company - Private,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable
235,Wind Technician,$34K - $68K (Glassdoor est.),"DTE is one of the nation’s largest diversified energy companies. Our electric and gas companies have fueled our customer’s homes and Michigan’s progress for more than a century. And as Michigan’s largest source of renewable energy, we’re creating a cleaner, healthier environment to power our future. We’re also serving communities beyond Michigan, where our affiliated businesses offer renewable energy, emission control technologies, and energy services to industries in 19 states.

But we’re more than a leading energy company... and working at DTE is more than just a job. At DTE, we take great care of each other and our customers, and we use our energy to be a force for growth and prosperity in our communities. When you join us, you’ll be part of a team that welcomes, recognizes, and celebrates differences and values everyone’s health, safety, and wellbeing. Are you ready to make that kind of difference? Bring your energy to DTE. Together, we can achieve great things.",4.2,"DTE Energy
4.2","Bad Axe, MI",10000+ Employees,1903,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
236,Wind Turbine Technician,$34K - $68K (Glassdoor est.),"Invenergy drives innovation in energy. Powered by decades of entrepreneurial experience and unparalleled execution, we solve the energy challenges facing our customers and communities. We provide power generation and storage solutions at scale around the world to create a cleaner energy future. We develop. We build. We own. We operate. We are Invenergy.
Job Description
Invenergy believes inclusion drives innovation
Diverse teams are better teams. The perspectives and experiences that people from different backgrounds bring to an organization drive better decisions and improved business results. Invenergy employees are inclusive and welcoming of all colleagues of all backgrounds, genders, races, sexual orientations, religions and abilities.",3.7,"Invenergy
3.7","Marseilles, IL",501 to 1000 Employees,2001,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD)
237,Wind Technician I or II,$34K - $68K (Glassdoor est.),"More than a career - a chance to make a difference in people's lives.
Build an exciting, rewarding career with us – help us make a difference for millions of people every day. Consider joining the Duke Energy team, where you'll find a friendly work environment, opportunities for growth and development, recognition for your work, and competitive pay and benefits.
Must live or be willing to relocate within 45 minutes of site location. The site is located 15 minutes due west of Cheyenne, Wyoming.
Relocation will be offered for this position








5-15%
Yes
No
No
Sunday, November 28, 2021",4.0,"Duke Energy
4.0","Cheyenne, WY",10000+ Employees,1917,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
238,"Wind Service Technician (King Creek - Throckmorton, TX)",$34K - $68K (Glassdoor est.),"It takes the brightest minds to be a technology leader. It takes imagination to create green energy for the generations to come. At Siemens Gamesa we make real what matters, join our global team.
Position Summary:

The Wind Service Technician performs planned and unplanned maintenance including troubleshooting and replacement of parts if necessary, in a safe and professional manner on Wind Turbines. Detailed records and parts used must be completed for all work performed. Technicians report to site management and communicate needs and or safety issues that arise. Perform first class work on preventive maintenance to be completed on time and right the first time",3.9,"Siemens Gamesa Renewable Energy
3.9","Abilene, TX",10000+ Employees,2017,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
239,Service Technician,$34K - $68K (Glassdoor est.),"It takes the brightest minds to be a technology leader. It takes imagination to create green energy for the generations to come. At Siemens Gamesa we make real what matters, join our global team.
Performs technical, mainly pre-defined tasks for accomplishing defined service delivery work for customer equipment.
Wind Technician- Service Technician
Position Overview
Join one of the world’s leading suppliers of wind power solutions as a Wind Technician for Siemens Gamesa Renewable Energy! Demand for electricity generated from renewable sources is growing fast, and Siemens Gamesa Renewable Energy has the answers. As one of the market leaders, we combine technological innovations, experience, and expertise to deliver readily available, one-stop solutions and have a proven track record of successfully delivering wind power projects on all continents. SGRE is currently seeking highly talented and motivated candidates for a Wind Technician position. The candidate will work together with a multi-disciplinary group to ensure top performance on our wind farms. The ideal candidate has the ability to work a flexible schedule, along with the ability to analyze and resolve problems independently and efficiently. S/he will provide excellent service to our customers, have the ability to work on complex systems in challenging environments, and participate in the development of new field procedures and best practices.",3.9,"Siemens Gamesa Renewable Energy
3.9","New Salem, ND",10000+ Employees,2017,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
240,Blade Composite Repair Travel Technician,$34K - $68K (Glassdoor est.),"Join Run Energy and accelerate your wind career! Run has openings for travel technicians across the USA.
Run offers family coverage medical insurance, paid vacation and sick leave, paid holidays, paid mob time, paid R&R travel time, hotel/per diem, company provided PPE.
The Job:
Composite repair experience
Epoxy and Polyester resin wet lay up
Balsa and foam sandwich materials
Structural/cosmetic repair",3.4,"Run Energy
3.4","Abilene, TX",201 to 500 Employees,2003,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable
241,Wind Turbine Travel Technician,$34K - $68K (Glassdoor est.),"Join Run Energy and accelerate your wind career! Run has openings for travel technicians across the USA.
Run offers family coverage medical insurance, paid vacation and sick leave, paid holidays, paid mob time, paid R&R travel time, hotel/per diem, company provided PPE.
Job Description
The Job:
Perform mechanical, electrical and hydraulic component maintenance and repair
Perform component retrofits and upgrades
Perform preventive maintenance",3.4,"Run Energy
3.4","San Angelo, TX",201 to 500 Employees,2003,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable
242,Balance of Plant Technician,$34K - $68K (Glassdoor est.),"Imagine a future where you maintain the assets of onshore utility-scale solar, wind, and storage portfolios and are responsible for the efficient operation of renewable power plants
LOCATIONS: Newell South Dakota & Norfolk Nebraska
Join us in this role where you’ll be responsible for overseeing the Balance of Plant (BOP) activities of a site facility, substations, collection/interconnect systems, roads, and MET equipment, including repairs, inspections, outages, and maintenance. You’ll also oversee the site’s electrical, high voltage (HV), and substation support and response activities.
Welcome to Onshore Asset Management
You’ll be part of Asset Operations where you, together with your colleagues, will assist in the daily operations of multiple renewable power plants. You’ll help manage site safety, reliability, and budget metrics.",4.5,"Orsted
4.5","Austin, TX",5001 to 10000 Employees,2006,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
243,Traveling Wind Turbine Technician,$34K - $68K (Glassdoor est.),"Traveling Wind Turbine Technician
Company Description:
The Services Business Unit have been providing services in 57 Wind farms all over the world, with a total installed Wind Power Capacity of 2000 MW. Our Services Team focuses on startup services, providing high voltage services, major components, commissioning and operation & maintenance services.
Job Description:
Ingeteam, Inc has immediate openings for Travelling Wind Turbine Technician positions. For these positions, you will work at different job sites in the United States, so you must be willing to travel for extended periods of time.",3.5,"Ingeteam Inc.
3.5",Texas,51 to 200 Employees,-1,Company - Private,-1,-1,$25 to $50 million (USD)
244,Plant Technician I,$34K - $68K (Glassdoor est.),"Purpose

Avangrid Renewables is seeking to fill a Wind Plant Tech I or Wind Plant Tech II opening. (The company will determine Tech level based on experience and education) This position is responsible for the onsite operations, maintenance, repairs and replacement of equipment on a wind powered generation plant, and leads in all areas of plant operations as directed by the Plant Manager.
Responsibilities
Operate and maintain wind turbine and solar equipment along with associated infrastructure including substation, collection and transmission systems.
Additional Responsibilities",-1,AVANGRID,"Hertford, NC",5001 to 10000 Employees,2015,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD)
245,Traveling Wind Tech II (Blade Repair/Inspection Tech),$34K - $68K (Glassdoor est.),"With 90 locations throughout North America, Acuren Inspection, Inc. is the leader in Nondestructive Testing (NDT). Providing a wide range of services in many industries including Oil and Gas, Petrochemical, Pipeline, Power Generation, Pulp and Paper, Construction, Fabrication, Automotive, and Aerospace. Inspection is our history and our focus for growth. We are a Rockwood company, the worldwide leader in NDT service and technology with over 4,000 technical professionals in Acuren and Hellier NDT Training - NDT firms run by NDT people!
Position Summary:
The Traveling Wind Technician II will be responsible for carrying out duties and responsibilities in a safe and timely manner as assigned by the direct reporting supervisor or manager. This position is remote, no relocation is required.",3.4,"Acuren
3.4","La Porte, TX",1001 to 5000 Employees,-1,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable
246,Traveling Wind Resource Assessment Technician,$34K - $68K (Glassdoor est.),"Company
Harness Energy is a leading provider of meteorological measurement field services. We install and maintain equipment that wind and solar energy developers depend on for their feasibility studies and operations. Since the early 2000's, we have experienced first hand how the resource assessment segment of the renewable energy industry has matured and improved. Specializing in met tower, remote sensing, and solar station installations, we have established data collection sites throughout the US, including both Hawaii and Alaska, as well as internationally in places as varied as Haiti, Ethiopia, Belize and Bangladesh. Our years of experience and commitment to continual improvement ensure we offer our clients the most dependable tools available and utilize industry best practices. We understand quality data is the foundation of every successful renewable energy project and this data begins with accurately configured and documented meteorological equipment. We are a key element in the success of any renewable energy project and take pride in our work.",-1,Harness Energy,"Niwot, CO",-1,-1,-1,-1,-1,-1
247,Wind Techs II & III,$34K - $68K (Glassdoor est.),"About Us:
Clearway Energy Group is leading the transition to a world powered by clean energy. Along with our public affiliate Clearway Energy, Inc., we own and operate over 7.5 gigawatts of renewable and conventional energy assets across the country. As we develop a nationwide pipeline of new renewable energy projects for the future, Clearway’s 5 gigawatts of wind, solar, and energy storage assets offset the equivalent of nearly 8.8 million metric tons of carbon emissions for our customers today. Clearway Energy Group is headquartered in San Francisco, CA with offices in Carlsbad, CA; Scottsdale, AZ; Houston, TX; and Princeton, NJ. For more information, visit www.clearwayenergygroup.com.
Job Summary:
Reporting to the Wind Site Manager, the Wind Technician II is responsible for assisting in the performance of wind turbine mechanical, hydraulic, and electric component maintenance on our Ocotillo Wind Site in Forsan, TX. The primary objective is to maintain safe, effective, efficient, and profitable wind turbine operation.",5.0,"H-S International, LLC
5.0","Forsan, TX",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
248,"Wind Turbine Technician - Rio Hondo, TX",$34K - $68K (Glassdoor est.),"ACCIONA is one of Spain's leading corporations, a front-runner in promoting and managing infrastructures, renewable energies, water and services, with 30,000 professionals worldwide, in 30 countries, and on 5 continents. The company is a global leader in renewable energy working exclusively with renewable technologies, specifically in wind, solar PV, solar thermal, hydro and biomass. Our Northern American Energy Division owns and operates renewable energy windfarms in the United States and Canada, and has recently added 3 gigawatts to our portfolio as we begin back to back Solar PV and storage projects. This is an exciting time to join Acciona and become one of the “pioneers in sustainability.”
Job Description
The Wind Turbine Technician will work with a team of well-trained professionals to maintain facilities surrounding wind turbines and maintain the turbines themselves. This includes basic cleaning and maintenance on the premises surrounding the wind turbines. This requires attention to safety regulations for the industry and is important for overall safety on the job.",3.3,"Acciona Services Energy
3.3","Rio Hondo, TX",201 to 500 Employees,2006,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities",$10 to $25 million (USD)
249,"Wind Turbine Technician - Ashley, ND",$34K - $68K (Glassdoor est.),"ACCIONA is one of Spain's leading corporations, a front-runner in promoting and managing infrastructures, renewable energies, water and services, with 30,000 professionals worldwide, in 30 countries, and on 5 continents. The company is a global leader in renewable energy working exclusively with renewable technologies, specifically in wind, solar PV, solar thermal, hydro and biomass. Our Northern American Energy Division owns and operates renewable energy windfarms in the United States and Canada, and has recently added 3 gigawatts to our portfolio as we begin back to back Solar PV and storage projects. This is an exciting time to join Acciona and become one of the “pioneers in sustainability.”
Job Description
The Wind Turbine Technician will work with a team of well-trained professionals to maintain facilities surrounding wind turbines and maintain the turbines themselves. This includes basic cleaning and maintenance on the premises surrounding the wind turbines. This requires attention to safety regulations for the industry and is important for overall safety on the job.",3.9,"Acciona
3.9","Ashley, ND",10000+ Employees,1997,Company - Public,Construction,"Construction, Repair & Maintenance",$5 to $10 million (USD)
250,Wind Turbine Technician,$34K - $68K (Glassdoor est.),"NGC Transmission Equipment (America) Inc. is a subsidiary of a multi-national gearbox manufacturer (NGC Gears) and is based in Fort Worth, TX.
NGC is looking to hire Wind Gearbox Traveling Tech to be based in their own residency area without relocation to Fort Worth, TX.

Job Summary: Travel Gearbox Technician - Wind Industry (Ft. Worth, TX) (Travel Job)

Job Type: Full-time Pay: $18.00 - $28.00 per hour",3.3,"NGC Transmission Equipment (America), Inc.
3.3",Texas,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
251,Wind Turbine Technician,$34K - $68K (Glassdoor est.),"Perform commissioning tasks of wind turbines following OEM specifications
Adhere to quality and safety standards of OEM and company's guidelines
Perform warranty repairs, operations and maintenance of wind turbines (different make and models)
Evaluate multiple fault records to increase mean time between failures
Troubleshoot circuits and operate electrical control systems
Follow up and audit maintenance and troubleshooting activities to ensure work performed to satisfaction
Perform climbs of +280 feet to perform annual or semi-annual maintenance, troubleshoot, and repair failures, which may occur, and collect data
Conduct electronic troubleshooting using wire and block diagram schematics",4.3,"ersg
4.3","Milton-Freewater, OR",51 to 200 Employees,2008,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
